tweet_id,retweet_count,favorite_count,retweeted,timestamp,source,text,rating_numerator,rating_denominator,name,jpg_url,dog_breed,confidence_level,rating
782598640137187329,1763,7364,False,2016-10-02 15:10:30+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this timmy quite large according trusted source actually dog wearing dog suit,11,10,Timmy,https://pbs.twimg.com/media/CtxZTtxUMAEduGo.jpg,malamute,0.8408709999999999,1.1
782305867769217024,5113,15660,False,2016-10-01 19:47:08+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this sampson just graduated ready doggo now time for the real world have fun with taxes,12,10,Sampson,https://pbs.twimg.com/media/CttPBt0WIAAcsDE.jpg,briard,0.5044270000000001,1.2
781251288990355457,1922,7898,False,2016-09-28 21:56:36+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this oakley just got yelled for going churlish would still pet well,11,10,Oakley,https://pbs.twimg.com/media/CteP5H5WcAEhdLO.jpg,Mexican_hairless,0.8877709999999999,1.1
781163403222056960,2572,9248,False,2016-09-28 16:07:23+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",normally don rate lobsters but this one appears really good lobster would pet with caution,10,10,None,https://pbs.twimg.com/media/Ctc_-BTWEAAQpZh.jpg,Shetland_sheepdog,0.973841,1.0
780858289093574656,1856,6778,False,2016-09-27 19:54:58+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this dash very stylish but also incredibly unimpressed with the current state our nation would pet ears first,10,10,Dash,https://pbs.twimg.com/media/CtYqeNHWgAATqYZ.jpg,Chesapeake_Bay_retriever,0.488555,1.0
780800785462489090,1198,5173,False,2016-09-27 16:06:28+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this koda has weird relationship with tall grass slightly concerning would def still pet,11,10,Koda,https://pbs.twimg.com/media/CtX2Kr9XYAAuxrM.jpg,Siberian_husky,0.951963,1.1
780601303617732608,3115,11394,False,2016-09-27 02:53:48+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meet hercules can have whatever wants for the rest eternity would snug passionately,12,10,Hercules,https://pbs.twimg.com/media/CtVAvX-WIAAcGTf.jpg,Saint_Bernard,0.995143,1.2
780543529827336192,1623,5930,False,2016-09-26 23:04:13+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",here perturbed super floof would snug damn well,12,10,None,https://pbs.twimg.com/media/CtUMLzRXgAAbZK5.jpg,golden_retriever,0.628312,1.2
780496263422808064,3411,0,False,2016-09-26 19:56:24+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dog rates this bell she likes holding hands would definitely pet with other hand,12,10,Bell,https://pbs.twimg.com/media/Ck2d7tJWUAEPTL3.jpg,pug,0.99731,1.2
780476555013349377,103,0,False,2016-09-26 18:38:05+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",patreon well dog rates patreon,12,10,None,https://pbs.twimg.com/tweet_video_thumb/CtTFZZfUsAE5hgp.jpg,pug,0.919255,1.2
779834332596887552,6480,17692,False,2016-09-25 00:06:08+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this scout really wants kiss himself ckin inappropriate narcissistic,11,10,Scout,https://pbs.twimg.com/media/CtKHLuCWYAA2TTs.jpg,golden_retriever,0.99383,1.1
779056095788752897,4192,13840,False,2016-09-22 20:33:42+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",everybody drop what you doing and look this dog must super ckin rare,13,10,None,https://pbs.twimg.com/media/Cs_DYr1XEAA54Pu.jpg,Chihuahua,0.721188,1.3
778990705243029504,6631,18679,False,2016-09-22 16:13:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this jay really ckin happy about the start fall sneaky tongue slip pic snuggly,11,10,Jay,https://pbs.twimg.com/media/Cs-H5uhWcAAiNY9.jpg,cocker_spaniel,0.7153510000000001,1.1
778650543019483137,1385,5401,False,2016-09-21 17:42:10+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meet strider thinks sorority girl already wants nyc for weekend say studied abroad,10,10,Strider,https://pbs.twimg.com/media/Cs5ShihWEAAH2ti.jpg,German_shepherd,0.515699,1.0
778624900596654080,940,4327,False,2016-09-21 16:00:17+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this penny she sailor pup would take the open seas with,11,10,Penny,https://pbs.twimg.com/media/Cs47N3eWcAEmgiW.jpg,Airedale,0.786089,1.1
778408200802557953,3993,12826,False,2016-09-21 01:39:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rip loki thank you for the good times you will missed many,14,10,None,https://pbs.twimg.com/media/Cs12ICuWAAECNRy.jpg,Pembroke,0.8483620000000001,1.4
